Time,Model,Epochs,Batch,Loss,Purpose,Data
2021-12-15,numbert,0,0,0.4875,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75625,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75625,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.759375,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg testing f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.521875,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.7291666666666665,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.759375,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.821875,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.859375,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.7604166666666666,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.7291666666666665,avg testing f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.484375,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75625,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75625,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.7604166666666666,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.821875,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.7291666666666665,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.878125,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.6979166666666666,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.903125,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.71875,avg validating f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.7708333333333333,avg testing f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.46875,avg training f1,dirty_amazon_itunes
2021-12-15,numbert,0,0,0.75,avg validating f1,dirty_amazon_itunes
